,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X6_CDD,X10_IE,X11_RED,X12_TOE,X13_TMATRC,X14_NIVEL_EDUCATIVO,X16_MODALIDAD,X17_GESTION,X18_TURNO,X19_ORGANIZACION_PEDAGOGICA,X20_DIRECTIVOS_TOTAL,X21_MULTIPLICIDAD1,X22_MULTIPLICIDAD2,X24_GPMD,X25_POBLACION_DISTRITO
X13_TMATRC,0.0570319496531008,-0.029447912006159822,-0.041290343943563027,-0.13904252215833823,-0.23920271957195888,-0.18360002876561052,0.020830642241803008,0.03308190093806886,0.24706621233958065,0.15355491497827406,1.0,0.1503142211448197,0.015292503713071545,0.004542453771020281,-0.0679697539595193,-0.16404901928613297,0.014027854075224562,0.11849790151619466,0.17098234765939302,0.147251238713302,0.3601905953624441
X14_NIVEL_EDUCATIVO,-0.09805186683449868,0.027955271503606,0.007340246327849185,0.09156185749391796,-0.3831086465229819,-0.0718536437983998,-0.058014390046475746,0.2837255034738,0.2907043755294012,0.30664320406123363,0.1503142211448197,1.0,0.2840805420755968,0.07232914533018969,0.47364606334196935,0.2620070500214885,0.3441014765904088,0.03569732409408089,0.13189878707736793,0.06250876243645803,-0.07722161294439878
X16_MODALIDAD,-0.02440743560926628,-0.020402082057317934,0.046454988142220946,-0.012328778690921841,-0.05350687511966687,-0.05970061018236378,-0.10423254307881834,0.020699908707222357,0.0482046631643476,0.13372774928441122,0.015292503713071545,0.2840805420755968,1.0,0.1154700538379255,0.03483899970151721,0.14346865127678798,0.17978331374417938,0.05429717064598241,0.0528028217175467,0.1323818395229596,0.035817197945951
X17_GESTION,0.28478065655355406,0.4981024359218076,-0.016586199915025683,0.37156083693031466,-0.14563469841093662,0.23754197966807147,0.7289999365062244,0.2946149494251056,0.2889824832197037,0.19321940020171915,0.004542453771020281,0.07232914533018969,0.1154700538379255,1.0,-0.033523843093280124,0.10944080016013606,-0.014026749268379088,-0.04138000163707494,0.028383259654487528,-0.5082097584370182,-0.030827440833393054
X18_TURNO,-0.03125678354922166,-0.1040222711820957,-0.04769440753280696,-0.0399455754933773,-0.44694640199224284,-0.17198432483170642,-0.09076894043831853,0.2031270428386836,0.3953832162048854,0.22896401839418798,-0.0679697539595193,0.47364606334196935,0.03483899970151721,-0.033523843093280124,1.0,-0.2249236934554079,0.09451633885796625,0.036698186771414745,0.2527860688922974,0.14604827747484309,-0.12016321537325363
X19_ORGANIZACION_PEDAGOGICA,-0.047981858921474926,0.09126960982411457,0.0756503167917152,0.07200729829308627,0.14157029804124283,0.1671227728775724,0.03856635491914543,0.028777768708464508,-0.08589321475105606,0.10260912131487945,-0.16404901928613297,0.2620070500214885,0.14346865127678798,0.10944080016013606,-0.2249236934554079,1.0,0.2748549007173939,0.01038927994716356,-0.038310868655459976,-0.10679077310138405,-0.12412678820443754
X20_DIRECTIVOS_TOTAL,-0.07985997438266466,-0.01489898248080807,0.07688578216402993,0.0005391507618173401,-0.011328151396596316,0.09436756469989332,-0.12506476098711147,-0.07961937461369985,-0.09307034633324122,0.19579380357341464,0.014027854075224562,0.3441014765904088,0.17978331374417938,-0.014026749268379088,0.09451633885796625,0.2748549007173939,1.0,-0.08975510636162826,-0.08533142973972216,0.048060422936261595,-0.10681802211212044
X21_MULTIPLICIDAD1,-0.11487124453713003,-0.023445971615792947,-0.09084635868584837,0.030123801019689162,-0.0983642067425823,-0.01843431477987377,0.10588602233276852,0.14277321461708978,0.210085665721813,0.07821605638038713,0.11849790151619466,0.03569732409408089,0.05429717064598241,-0.04138000163707494,0.036698186771414745,0.01038927994716356,-0.08975510636162826,1.0,0.8860351771046567,-0.10156484336239298,-0.0695201686003533
X22_MULTIPLICIDAD2,-0.05226962394598353,0.0029113724391278926,-0.08471596150291666,0.029294743644532703,-0.21857909445992463,-0.110148229434612,0.15664527607969014,0.17875959548299503,0.5058910697606792,0.12620464400625467,0.17098234765939302,0.13189878707736793,0.0528028217175467,0.028383259654487528,0.2527860688922974,-0.038310868655459976,-0.08533142973972216,0.8860351771046567,1.0,-0.10330982660064199,-0.028494118745854047
X24_GPMD,0.02971692668477897,-0.3453571342227639,0.08129499065353914,-0.5285936265662563,-0.21070174640110279,-0.4059111417481387,-0.6272302034475172,-0.08453997977029255,0.023203985872352336,-0.034149473746385293,0.147251238713302,0.06250876243645803,0.1323818395229596,-0.5082097584370182,0.14604827747484309,-0.10679077310138405,0.048060422936261595,-0.10156484336239298,-0.10330982660064199,1.0,0.5485537009021952
X25_POBLACION_DISTRITO,0.2025902169951879,0.07639175477372061,-0.003126805915654044,-0.0765734041322246,-0.07578171486080171,-0.3314123833155518,-0.08553274926237196,0.010651324196028465,0.1382910807318449,-0.1219468600687668,0.3601905953624441,-0.07722161294439878,0.035817197945951,-0.030827440833393054,-0.12016321537325363,-0.12412678820443754,-0.10681802211212044,-0.0695201686003533,-0.028494118745854047,0.5485537009021952,1.0
