año,codigo_modular,codigo_local,metodo_encontrado,nombre_siagie,nombre_fya,red_fya,nivel,grado,alumnos,departamento,provincia,distrito,turno,gestion
2023,0410266,169541,CODIGO_LOCAL,50553,50553,44,Primaria,SEXTO,2,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0409672,169428,CODIGO_LOCAL,50492 CORAZON DE JESUS,50492 CORAZON DE JESUS,44,Primaria,SEXTO,25,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0421594,176216,CODIGO_LOCAL,130,130,79,Inicial - Jard¡n,Grupo 5 a¤os,6,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana,P£blica
2023,0420380,176235,CODIGO_LOCAL,36161 SAN VICENTE DE PAUL,36161 SAN VICENTE DE PAUL,79,Primaria,TERCERO,3,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana,P£blica
2023,1060276,176320,CODIGO_MODULAR,CORAS,CORAS,79,Secundaria,PRIMERO,11,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana-Tarde,P£blica
2023,0428714,175716,CODIGO_LOCAL,36153 SAYRI TUPAC,36153 SAYRI TUPAC,79,Primaria,SEXTO,4,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana,P£blica
2023,0420430,176358,CODIGO_LOCAL,36166 HEROES 29 DE AGOSTO,36166 HEROES 29 DE AGOSTO,79,Primaria,SEXTO,12,HUANCAVELICA,ACOBAMBA,MARCAS,Ma¤ana,P£blica
2023,0420448,176363,CODIGO_LOCAL,36167,36167,79,Primaria,SEXTO,1,HUANCAVELICA,ACOBAMBA,MARCAS,Ma¤ana,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,PRIMERO,14,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,SEGUNDO,19,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,SEGUNDO,21,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,CUARTO,19,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,0410118,168056,CODIGO_LOCAL,50536,50536,44,Primaria,SEGUNDO,4,CUSCO,QUISPICANCHI,URCOS,Ma¤ana,P£blica
2023,0933960,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Primaria,SEGUNDO,23,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,1060276,176320,CODIGO_MODULAR,CORAS,CORAS,79,Secundaria,SEGUNDO,27,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana-Tarde,P£blica
2023,0420430,176358,CODIGO_LOCAL,36166 HEROES 29 DE AGOSTO,36166 HEROES 29 DE AGOSTO,79,Primaria,CUARTO,8,HUANCAVELICA,ACOBAMBA,MARCAS,Ma¤ana,P£blica
2023,0410258,169536,CODIGO_LOCAL,50552 TUPAC AMARU II,50552 TUPAC AMARU II,44,Primaria,QUINTO,18,CUSCO,QUISPICANCHI,OCONGATE,Ma¤ana,P£blica
2023,0600692,175882,CODIGO_LOCAL,NUESTRA SE¥ORA DE LA CANDELARIA,NUESTRA SEÑORA DE LA CANDELARIA,79,Secundaria,TERCERO,18,HUANCAVELICA,ACOBAMBA,ACOBAMBA,Ma¤ana-Tarde,P£blica
2023,0420406,176240,CODIGO_LOCAL,36163 JAVIER HERAUD PEREZ,36163 JAVIER HERAUD PEREZ,79,Primaria,SEGUNDO,4,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana,P£blica
2023,0420406,176240,CODIGO_LOCAL,36163 JAVIER HERAUD PEREZ,36163 JAVIER HERAUD PEREZ,79,Primaria,TERCERO,5,HUANCAVELICA,ACOBAMBA,CAJA,Ma¤ana,P£blica
2023,0409797,168023,CODIGO_LOCAL,50504,50504,44,Primaria,QUINTO,14,CUSCO,QUISPICANCHI,URCOS,Ma¤ana,P£blica
2023,1200906,147851,CODIGO_MODULAR,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Secundaria,SEGUNDO,29,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
2023,0933937,168297,CODIGO_LOCAL,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,Inicial - Jard¡n,Grupo 5 a¤os,19,CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Ma¤ana,P£blica
