id_anio,cod_dre,nom_dre,cod_ugel,nom_ugel,ubigeo,dpto,prov,dist,c_poblado,cod_local,cod_mod,anexo,nombre_iie,gestion,nivel,grado,seccion,turno,talumnos,codigo_modular_norm,codigo_local_norm,total_alumnos_norm,metodo_vinculacion,nombre_fya_bd,red_fya,fecha_procesamiento
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,1315084,0,86548 JOSE MARIA VELAZ,P£blica,Secundaria,CUARTO,UNICA,Ma¤ana,18,1315084,27453,18,CODIGO_MODULAR_EXACTO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAJAY,027561,0415141,0,86783,P£blica,Primaria,SEXTO,UNICA,Ma¤ana,16,415141,27561,16,CODIGO_MODULAR_NORMALIZADO,86783,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,1551944,0,87009-01,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,AULA ROJO,Ma¤ana,13,1551944,27603,13,CODIGO_MODULAR_EXACTO,87009-01,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,0818682,0,87009-01,P£blica,Primaria,CUARTO,UNICA,Ma¤ana,13,818682,27603,13,CODIGO_MODULAR_NORMALIZADO,87009-01,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,PICHIU,027453,1376268,0,86548 JOSE MARIA VELAZ,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,HORMIGUITAS,Ma¤ana,10,1376268,27453,10,CODIGO_MODULAR_EXACTO,86548 JOSE MARIA VELAZ,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAJAY,027561,1376300,0,86783,P£blica,Secundaria,CUARTO,UNICA,Ma¤ana,18,1376300,27561,18,CODIGO_MODULAR_EXACTO,86783,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,CAPAN,027641,1376318,0,88247 SAN ENRIQUE,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,UNICA,Ma¤ana,4,1376318,27641,4,CODIGO_MODULAR_EXACTO,88247 SAN ENRIQUE,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUANCHUY,027603,1551944,0,87009-01,P£blica,Inicial - Jard¡n,Grupo 5 a¤os,AULA AMARILLO,Ma¤ana,14,1551944,27603,14,CODIGO_MODULAR_EXACTO,87009-01,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,,0838455,0,HUARAC HUARAN,P£blica,Inicial - Programa no escolarizado,5 a¤os,UNICA,Ma¤ana,1,838455,99,1,CODIGO_MODULAR_NORMALIZADO,HUARAC HUARAN,54,2025-08-09T17:53:15.767406
2022,0200,DRE ANCASH,020012,UGEL HUAYLAS,021206,ANCASH,HUAYLAS,PAMPAROMAS,HUARAC HURAN,027575,0520221,0,86809,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,2,520221,27575,2,CODIGO_MODULAR_NORMALIZADO,86809,54,2025-08-09T17:53:15.767406
