anio,cod_dre,nom_dre,cod_ugel,nom_ugel,ubigeo,departamento,provincia,distrito,centro_poblado,codigo_local,periodo_promocion,codigo_modular,anexo,nombre_ie,gestion,nivel,grado,seccion,turno,total_alumnos,codigo_modular_norm,codigo_local_norm,total_alumnos_norm,metodo_vinculacion,nombre_fya_bd,red_fya,fecha_procesamiento
2020,0800,DRE CUSCO,080012,UGEL QUISPICANCHI,081210,CUSCO,QUISPICANCHI,OCONGATE,KUMUNCANCHA,588934,,1457605,0,501432,P£blica,Primaria,SEXTO,A,Ma¤ana,19,1457605,588934,19,CODIGO_MODULAR,501432,44,2025-08-09T17:44:41.975432
2020,0800,DRE CUSCO,080012,UGEL QUISPICANCHI,081210,CUSCO,QUISPICANCHI,OCONGATE,OCONGATE,169428,,0409672,0,50492 CORAZON DE JESUS,P£blica,Primaria,SEGUNDO,LLANKAY,Ma¤ana,24,409672,169428,24,CODIGO_LOCAL,50492 CORAZON DE JESUS,44,2025-08-09T17:44:41.975432
2020,0800,DRE CUSCO,080012,UGEL QUISPICANCHI,081210,CUSCO,QUISPICANCHI,OCONGATE,OCONGATE,169428,,0409672,0,50492 CORAZON DE JESUS,P£blica,Primaria,TERCERO,LLANKAY,Ma¤ana,25,409672,169428,25,CODIGO_LOCAL,50492 CORAZON DE JESUS,44,2025-08-09T17:44:41.975432
2020,0900,DRE HUANCAVELICA,090002,UGEL ACOBAMBA,090201,HUANCAVELICA,ACOBAMBA,ACOBAMBA,VILLA RICA,175716,,0428714,0,36153 SAYRI TUPAC,P£blica,Primaria,SEXTO,UNICA,Ma¤ana,3,0428714,175716,3,CODIGO_MODULAR,36153 SAYRI TUPAC,,2025-08-09T17:44:43.568328
2020,0900,DRE HUANCAVELICA,090002,UGEL ACOBAMBA,090204,HUANCAVELICA,ACOBAMBA,CAJA,POMACANCHA,176221,,0633040,0,156,P£blica,Inicial - Jard¡n,Grupo 3 a¤os,UNICA,Ma¤ana,2,633040,176221,2,CODIGO_LOCAL,156,79,2025-08-09T17:44:43.568328
2020,0900,DRE HUANCAVELICA,090002,UGEL ACOBAMBA,090204,HUANCAVELICA,ACOBAMBA,CAJA,POMACANCHA,176221,,0633040,0,156,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,UNICA,Ma¤ana,7,633040,176221,7,CODIGO_LOCAL,156,79,2025-08-09T17:44:43.568328
2020,0900,DRE HUANCAVELICA,090002,UGEL ACOBAMBA,090205,HUANCAVELICA,ACOBAMBA,MARCAS,MARCAS,176419,,0740365,0,RAMON CASTILLA MARQUEZADO,P£blica,Secundaria,QUINTO,UNICA,Ma¤ana,9,740365,176419,9,CODIGO_LOCAL,RAMON CASTILLA MARQUEZADO,79,2025-08-09T17:44:43.568328
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,10 DE OCTUBRE II ZONA,740347,,1273960,0,601580,P£blica,Primaria,PRIMERO,UNICA,Ma¤ana,6,1273960,740347,6,CODIGO_MODULAR,601580,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,10 DE OCTUBRE II ZONA,740347,,1273960,0,601580,P£blica,Primaria,TERCERO,UNICA,Ma¤ana,5,1273960,740347,5,CODIGO_MODULAR,601580,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,10 DE OCTUBRE II ZONA,740347,,1273960,0,601580,P£blica,Primaria,QUINTO,UNICA,Ma¤ana,6,1273960,740347,6,CODIGO_MODULAR,601580,47,2025-08-09T17:44:43.662956
2020,1600,DRE LORETO,160001,UGEL MAYNAS,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,10 DE OCTUBRE II ZONA,854843,,1151695,0,573,P£blica,Inicial - Jard¡n,Grupo 4 a¤os,UNICA,Ma¤ana,6,1151695,854843,6,CODIGO_MODULAR,573,47,2025-08-09T17:44:43.662956
