codigo_modular,X5_ED,fuente
613943,0.8000000000000002,docentes_data
651398,1.0,docentes_data
666677,0.9,docentes_data
673780,0.8,docentes_data
682211,0.8,docentes_data
683466,0.8500000000000001,docentes_data
683474,1.0,docentes_data
737783,1.0,docentes_data
737791,1.0,docentes_data
738419,1.0,docentes_data
807156,1.0,docentes_data
830885,0.8,docentes_data
840504,0.8,docentes_data
840595,0.8,docentes_data
938118,1.0,docentes_data
938142,1.0,docentes_data
3916573,0.24999999999999997,imputacion_contextual
838455,0.24999999999999997,imputacion_contextual
3891735,0.24999999999999997,imputacion_contextual
1306182,0.24999999999999997,imputacion_contextual
721639,0.24999999999999997,imputacion_contextual
721647,0.35,imputacion_contextual
738203,0.24999999999999997,imputacion_contextual
1151414,0.35,imputacion_contextual
1152255,0.24999999999999997,imputacion_contextual
738427,0.44999999999999996,imputacion_contextual
1154129,0.24999999999999997,imputacion_contextual
1563212,0.24999999999999997,imputacion_contextual
1154608,0.24999999999999997,imputacion_contextual
1527233,0.35,imputacion_contextual
937813,0.24999999999999997,imputacion_contextual
674895,0.24999999999999997,imputacion_contextual
1785484,0.65,imputacion_contextual
1785476,0.65,imputacion_contextual
916023,0.75,imputacion_contextual
260315,0.35,imputacion_contextual
571745,0.24999999999999997,imputacion_contextual
552661,0.24999999999999997,imputacion_contextual
626424,0.24999999999999997,imputacion_contextual
595108,0.24999999999999997,imputacion_contextual
657122,0.35,imputacion_contextual
1335744,0.44999999999999996,imputacion_contextual
1378355,0.24999999999999997,imputacion_contextual
1263219,0.24999999999999997,imputacion_contextual
1682285,0.24999999999999997,imputacion_contextual
1527365,0.24999999999999997,imputacion_contextual
1527340,0.24999999999999997,imputacion_contextual
1527381,0.24999999999999997,imputacion_contextual
1527373,0.24999999999999997,imputacion_contextual
1236397,0.44999999999999996,imputacion_contextual
1236967,0.55,imputacion_contextual
697714,0.65,imputacion_contextual
421222,0.55,imputacion_contextual
1151695,0.24999999999999997,imputacion_contextual
1791433,0.55,imputacion_contextual
1791466,0.65,imputacion_contextual
1781897,0.65,imputacion_contextual
2533906,0.24999999999999997,imputacion_contextual
3025715,0.65,imputacion_contextual
0428714,0.24999999999999997,imputacion_contextual
0304642,0.35,imputacion_contextual
0488403,0.65,imputacion_contextual
0481093,0.75,imputacion_contextual
1768829,0.24999999999999997,imputacion_contextual
0600692,0.44999999999999996,imputacion_contextual
