codigo_modular,nombre_institucion,red_fya,entra_estudio_clustering,Y1_ILA,Y1_ILA_zscore,Y2_TD,Y2_TD_zscore,Y2_TD_categoria,X1_NVC,X1_NVC_zscore,X2_TR,X4_IDD,X4_IDD_zscore,X10_IE,X10_IE_zscore,X11_RED_ajustado,X11_RED,X11_RED_zscore,X12_TOE,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,X15_MEIB,total_docentes_ajustado,metodo_ajuste,numero_fya,nombre_red_fya_matched,total_estudiantes,total_docentes
410266,50553,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,6.0,,,,-5.0,DECRECIMIENTO_SIGNIFICATIVO,0.008534920414227098,49.08007912245728,,1.0,SIN_AJUSTE,,,,
204974,50719 VIRGEN DEL CARMEN,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,19.933333333333334,,,,2.0,ESTABLE,0.4523703606773608,3.2329467742509346,,15.0,SIN_AJUSTE,,,,
205401,50765,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,9.0,,,,-2.3333333333333335,DECRECIMIENTO_SIGNIFICATIVO,0.024170547174545254,16.65332799572906,,2.0,SIN_AJUSTE,,,,
487140,50854,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,8.5,,,,-5.5,DECRECIMIENTO_SIGNIFICATIVO,0.008534920414227098,31.591989196954113,,2.0,SIN_AJUSTE,,,,
592543,50977,Red Fe y Alegría 44,Sí,,,,,,,,,,,,,17.0,,,,-4.0,DECRECIMIENTO_SIGNIFICATIVO,0.024170547174545254,12.211658545069698,,3.0,SIN_AJUSTE,,,,
428714,36153 SAYRI TUPAC,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,12.5,,,,,,,,,2.0,SIN_AJUSTE,,,,
600692,NUESTRA SEÑORA DE LA CANDELARIA,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,7.571428571428571,,,,,,,,,35.0,SIN_AJUSTE,,,,
421594,130,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,11.0,,,,1.8,ESTABLE,0.18848603806737496,18.880677953929517,,2.0,SIN_AJUSTE,,,,
633040,156,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,9.0,,,,0.4,ESTABLE,0.4523703606773608,20.110498078466104,,2.0,SIN_AJUSTE,,,,
420380,36161 SAN VICENTE DE PAUL,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,11.0,,,,-2.0,ESTABLE,0.09087393998624904,12.627946015727643,,3.0,SIN_AJUSTE,,,,
420406,36163 JAVIER HERAUD PEREZ,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,10.0,,,,0.6,ESTABLE,0.2596563563704499,5.454545454545454,,3.0,SIN_AJUSTE,,,,
1060276,CORAS,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,6.333333333333333,,,,2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.024170547174545254,3.0277295046819015,,18.0,SIN_AJUSTE,,,,
420430,36166 HEROES 29 DE AGOSTO,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,12.75,,,,-1.0,ESTABLE,0.4523703606773608,9.61659089334734,,4.0,SIN_AJUSTE,,,,
420448,36167,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,8.0,,,,-2.25,ESTABLE,0.4523703606773608,36.95870277151317,,1.0,SIN_AJUSTE,,,,
420562,36201 NUESTRA SEÑORA DEL ROSARIO,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,8.0,,,,-0.2,ESTABLE,0.2596563563704499,8.9854425391291,,1.0,SIN_AJUSTE,,,,
740365,RAMON CASTILLA MARQUEZADO,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,7.333333333333333,,,,-2.25,ESTABLE,0.13285495573105388,6.1667574701241055,,9.0,SIN_AJUSTE,,,,
686741,177,Red Fe y Alegría 79,Sí,,,,,,,,,,,,,9.0,,,,-4.25,ESTABLE,0.09087393998624904,29.556293179008353,,2.0,SIN_AJUSTE,,,,
