codigo_modular,nombre_institucion,total_alumnos,total_docentes,X11_RED
420380,36161 SAN VICENTE DE PAUL,33,3,11.0
420406,36163 JAVIER HERAUD PEREZ,30,3,10.0
1060276,CORAS,114,18,6.333333333333333
420430,36166 HEROES 29 DE AGOSTO,51,4,12.75
420448,36167,8,1,8.0
420562,36201 NUESTRA SEÑORA DEL ROSARIO,8,1,8.0
740365,RAMON CASTILLA MARQUEZADO,66,9,7.333333333333333
686741,177,18,2,9.0
428771,36173 SANTIAGO ANTUNEZ DE MAYOLO,74,6,12.333333333333334
687194,36465 MICAELA BASTIDAS PUYUCAHUA,9,1,9.0
579987,JORGE CHAVEZ,92,19,4.842105263157895
1320001,601614,9,1,9.0
721639,404,6,1,6.0
721647,405,78,3,26.0
738203,475,13,2,6.5
1151331,536 MI CASITA DEL SABER,53,3,17.666666666666668
1151414,538,70,4,17.5
1152057,604,12,1,12.0
1152255,656,6,1,6.0
1152321,678,14,1,14.0
1261577,60133,200,7,28.571428571428573
398313,60133,223,11,20.272727272727273
398347,60136,14,2,7.0
398370,60181,8,1,8.0
738419,601330,2,1,2.0
738427,601331,147,14,10.5
1147735,601331,110,7,15.714285714285714
1153527,601391,15,2,7.5
1153881,601444,24,2,12.0
1153964,601448,45,3,15.0
1154129,601496,9,1,9.0
1563212,601511,9,1,9.0
1154368,601511,22,2,11.0
1154400,601514,28,3,9.333333333333334
1154608,601528,13,2,6.5
1148402,6010102,47,3,15.666666666666666
651398,6010178,7,1,7.0
1210491,6010230 BARBARA D'ACHILLE,54,7,7.714285714285714
683466,6010230 BARBARA D'ACHILLE,52,4,13.0
1527233,6010231,168,9,18.666666666666668
683474,6010231,211,13,16.23076923076923
682211,EL MILAGRO,252,12,21.0
1261775,601563,19,2,9.5
571232,58,67,4,16.75
737783,467,10,1,10.0
737791,469,42,3,14.0
937813,489 JOSE MARIA VELAZ,17,1,17.0
938118,731,53,3,17.666666666666668
938142,732 VIRGEN DE MONSERRAT,151,7,21.571428571428573
674895,14045,23,2,11.5
260307,14141,24,2,12.0
350447,14144 SANTA ROSA,446,19,23.473684210526315
1785484,FE Y ALEGRIA 48,221,3,73.66666666666667
1785476,FE Y ALEGRIA 48,407,4,101.75
916023,14144 SANTA ROSA,366,20,18.3
260315,14145 SANTA JULIA BILLIART,191,8,23.875
1715820,14894,15,1,15.0
571745,14894,10,1,10.0
350496,14924 DANIEL ALCIDES CARRION,402,19,21.157894736842106
571356,14924 DANIEL ALCIDES CARRION,135,6,22.5
613943,14975,87,4,21.75
464610,15219,16,2,8.0
464628,15220,15,2,7.5
355271,15304,42,3,14.0
552661,15314,27,2,13.5
561084,SAGRADO CORAZON DE JESUS,134,6,22.333333333333332
355289,15383,9,2,4.5
673780,15478,20,2,10.0
840595,20104,86,4,21.5
840504,20123,18,2,9.0
626424,15055,14,2,7.0
595082,294,31,1,31.0
595108,295,16,1,16.0
715011,333-B,69,4,17.25
271379,64028,66,5,13.2
271551,64048,39,3,13.0
275107,64115,41,3,13.666666666666666
530535,64641,10,2,5.0
733535,64871-B,204,10,20.4
272773,64508-B,150,7,21.428571428571427
273359,64545-B,16,2,8.0
657122,64798,35,3,11.666666666666666
666677,64829,24,2,12.0
1568799,525-B,21,2,10.5
733600,64873-B,69,4,17.25
807156,64949,13,2,6.5
1335744,EL MILAGRO,272,28,9.714285714285714
1343813,ALMIRANTE MIGUEL GRAU SEMINARIO,75,7,10.714285714285714
830885,64996,18,2,9.0
1374834,846,11,2,5.5
1433515,65199,14,2,7.0
1457605,501432,59,4,14.75
1772672,501432 PAPA FRANCISCO I,71,7,10.142857142857142
1495167,843,8,1,8.0
1516269,909,35,3,11.666666666666666
1516277,910,60,3,20.0
1402866,36789 NUESTRA SEÑORA DEL CARMEN,8,1,8.0
428920,36207,43,3,14.333333333333334
1625904,555-B,90,4,22.5
1625938,559,8,1,8.0
1625987,564,13,1,13.0
1626001,566,9,1,9.0
1741123,501455 CRISTO REY TTIKARIY,55,3,18.333333333333332
1636455,501455 CRISTO REY TTIKARIY,24,2,12.0
1378355,601678,7,2,3.5
1273960,601580,15,2,7.5
1263219,601571,22,2,11.0
1682285,601571,9,1,9.0
1527365,808,9,1,9.0
1527340,809,6,1,6.0
1527381,810,6,1,6.0
1527373,812,8,1,8.0
1262856,601570,9,1,9.0
1457365,LOS RIT'IS DEL ALTO ANDINO,57,6,9.5
1681212,1341,49,3,16.333333333333332
1236397,TECNICO MARIA TERESA DE JESUS GERHARDINGER,274,19,14.421052631578947
1236967,NUESTRA SEÑORA DE LA ENSEÑANZA,91,2,45.5
1527399,811,7,1,7.0
1715416,1416,12,1,12.0
1715424,1417,7,1,7.0
1715440,1419,50,3,16.666666666666668
1745710,1558,16,1,16.0
1745728,1559,24,1,24.0
697714,37003,128,6,21.333333333333332
