codigo_target,X4_IDD,fuente,metodo,num_docentes
260315,2.9927104124223893,Regresion_1_4,regresion_normalizada_r2_0.405,0
1715820,2.998861624276683,Regresion_1_4,regresion_normalizada_r2_0.405,0
571745,2.998861624276683,Regresion_1_4,regresion_normalizada_r2_0.405,0
350496,3.013348080452471,Regresion_1_4,regresion_normalizada_r2_0.405,0
571356,3.013348080452471,Regresion_1_4,regresion_normalizada_r2_0.405,0
613943,3.0157967061848563,Regresion_1_4,regresion_normalizada_r2_0.405,0
464610,3.001246786538758,Regresion_1_4,regresion_normalizada_r2_0.405,0
464628,2.9893681930036973,Regresion_1_4,regresion_normalizada_r2_0.405,0
355271,3.0061612302916605,Regresion_1_4,regresion_normalizada_r2_0.405,0
552661,3.006210166859519,Regresion_1_4,regresion_normalizada_r2_0.405,0
561084,3.01129138877275,Regresion_1_4,regresion_normalizada_r2_0.405,0
355289,3.0007433819453264,Regresion_1_4,regresion_normalizada_r2_0.405,0
673780,2.989667624712551,Regresion_1_4,regresion_normalizada_r2_0.405,0
840595,3.0174410803452263,Regresion_1_4,regresion_normalizada_r2_0.405,0
840504,3.012151825909964,Regresion_1_4,regresion_normalizada_r2_0.405,0
626424,2.997118610507523,Regresion_1_4,regresion_normalizada_r2_0.405,0
595082,1.800636191197037,Regresion_1_4,regresion_normalizada_r2_0.405,0
595108,1.8226223761621123,Regresion_1_4,regresion_normalizada_r2_0.405,0
715011,4.0,Regresion_1_4,regresion_normalizada_r2_0.405,0
271379,1.8013832586332335,Regresion_1_4,regresion_normalizada_r2_0.405,0
271551,1.821839307134893,Regresion_1_4,regresion_normalizada_r2_0.405,0
275107,1.8226013855235177,Regresion_1_4,regresion_normalizada_r2_0.405,0
530535,1.8049589816939333,Regresion_1_4,regresion_normalizada_r2_0.405,0
733535,2.4166719404366797,Regresion_1_4,regresion_normalizada_r2_0.405,0
272773,4.0,Regresion_1_4,regresion_normalizada_r2_0.405,0
273359,2.769801172215309,Regresion_1_4,regresion_normalizada_r2_0.405,0
657122,1.826928327923865,Regresion_1_4,regresion_normalizada_r2_0.405,0
666677,1.7984940120692745,Regresion_1_4,regresion_normalizada_r2_0.405,0
733600,2.7841362797382154,Regresion_1_4,regresion_normalizada_r2_0.405,0
807156,1.8121116539315816,Regresion_1_4,regresion_normalizada_r2_0.405,0
1335744,2.742338392156306,Regresion_1_4,regresion_normalizada_r2_0.405,0
1343813,3.7631857343527493,Regresion_1_4,regresion_normalizada_r2_0.405,0
830885,1.7999504400819997,Regresion_1_4,regresion_normalizada_r2_0.405,0
1433515,1.8074929897959189,Regresion_1_4,regresion_normalizada_r2_0.405,0
1772672,3.786765066010627,Regresion_1_4,regresion_normalizada_r2_0.405,0
1495167,2.133450185352289,Regresion_1_4,regresion_normalizada_r2_0.405,0
1516269,2.992722241864291,Regresion_1_4,regresion_normalizada_r2_0.405,0
1516277,3.017570604394737,Regresion_1_4,regresion_normalizada_r2_0.405,0
1402866,3.0828339605531037,Regresion_1_4,regresion_normalizada_r2_0.405,0
428920,2.13286614184359,Regresion_1_4,regresion_normalizada_r2_0.405,0
1378355,2.7687345142764483,Regresion_1_4,regresion_normalizada_r2_0.405,0
1273960,2.78493244635034,Regresion_1_4,regresion_normalizada_r2_0.405,0
1263219,2.786447009892432,Regresion_1_4,regresion_normalizada_r2_0.405,0
1682285,2.786447009892432,Regresion_1_4,regresion_normalizada_r2_0.405,0
1527365,2.7463305744788546,Regresion_1_4,regresion_normalizada_r2_0.405,0
1527340,2.7569397111626865,Regresion_1_4,regresion_normalizada_r2_0.405,0
1527381,2.763536742051697,Regresion_1_4,regresion_normalizada_r2_0.405,0
1527373,2.7853932650579756,Regresion_1_4,regresion_normalizada_r2_0.405,0
1262856,2.7647396366786636,Regresion_1_4,regresion_normalizada_r2_0.405,0
1457365,3.7677333999190212,Regresion_1_4,regresion_normalizada_r2_0.405,0
1681212,3.0174057232797624,Regresion_1_4,regresion_normalizada_r2_0.405,0
