codigo_modular,nombre_institucion,X13_TMATRC,X13_TMATRC_MANN_KENDALL_S,X13_TMATRC_MANN_KENDALL_Z,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_CATEGORIA
673780,15478,-0.6666666666666666,-12.0,-2.0665401605809937,0.03877750439230665,CAMBIO_LEVE_SIGNIFICATIVO
840595,20104,0.3333333333333333,2.0,0.18786728732554486,0.8509806870320558,ESTABLE
840504,20123,-0.5,-1.0,0.0,1.0,ESTABLE
626424,15055,-1.25,-13.0,-2.2544074479065386,0.024170547174545254,CAMBIO_LEVE_SIGNIFICATIVO
595082,294,1.8,3.0,0.3757345746510897,0.7071142312899614,ESTABLE
595108,295,1.0,6.0,0.9393364366277244,0.34755803674116903,ESTABLE
715011,333-B,9.0,11.0,1.8786728732554487,0.060289173990602185,ESTABLE
271379,64028,-1.75,-3.0,-0.3757345746510897,0.7071142312899614,ESTABLE
271551,64048,1.0,10.0,1.6908055859299038,0.09087393998624904,ESTABLE
275107,64115,-1.8,-9.0,-1.502938298604359,0.13285495573105388,ESTABLE
530535,64641,0.0,0.0,0.0,1.0,ESTABLE
733535,64871-B,11.5,9.0,1.502938298604359,0.13285495573105388,ESTABLE
272773,64508-B,0.0,0.0,0.0,1.0,ESTABLE
273359,64545-B,-0.6666666666666666,-5.0,-0.7514691493021795,0.4523703606773608,ESTABLE
657122,64798,2.5,7.0,1.1272037239532693,0.25965635637045015,ESTABLE
666677,64829,0.0,1.0,0.0,1.0,ESTABLE
1568799,525-B,0.4,4.0,0.5636018619766346,0.5730251193553904,ESTABLE
733600,64873-B,8.5,14.0,2.442274735232083,0.014595034919316685,CRECIMIENTO_SIGNIFICATIVO
807156,64949,-1.5,-9.0,-1.502938298604359,0.13285495573105388,ESTABLE
1343813,ALMIRANTE MIGUEL GRAU SEMINARIO,-1.2,-3.0,-0.3757345746510897,0.7071142312899614,ESTABLE
830885,64996,2.3333333333333335,13.0,2.2544074479065386,0.024170547174545254,CRECIMIENTO_SIGNIFICATIVO
1374834,846,0.5,1.0,0.0,1.0,ESTABLE
1433515,65199,-1.5,-13.0,-2.2544074479065386,0.024170547174545254,CAMBIO_LEVE_SIGNIFICATIVO
1457605,501432,-5.0,-14.0,-2.442274735232083,0.014595034919316685,DECRECIMIENTO_SIGNIFICATIVO
1772672,501432 PAPA FRANCISCO I,11.6,15.0,2.630142022557628,0.008534920414227098,CRECIMIENTO_SIGNIFICATIVO
1495167,843,-0.3333333333333333,-8.0,-1.315071011278814,0.18848603806737474,ESTABLE
1516269,909,-6.75,-14.0,-2.442274735232083,0.014595034919316685,DECRECIMIENTO_SIGNIFICATIVO
1516277,910,4.5,10.0,1.6908055859299038,0.09087393998624904,ESTABLE
1402866,36789 NUESTRA SEÑORA DEL CARMEN,0.0,0.0,0.0,1.0,ESTABLE
428920,36207,1.3333333333333333,15.0,2.630142022557628,0.008534920414227098,CAMBIO_LEVE_SIGNIFICATIVO
1625904,555-B,1.6666666666666667,5.0,0.7514691493021795,0.4523703606773608,ESTABLE
1625938,559,-1.0,-11.0,-1.8786728732554487,0.060289173990602185,ESTABLE
1625987,564,0.0,0.0,0.0,1.0,ESTABLE
1626001,566,0.5,8.0,1.315071011278814,0.18848603806737474,ESTABLE
1741123,501455 CRISTO REY TTIKARIY,0.5,4.0,0.5636018619766346,0.5730251193553904,ESTABLE
1636455,501455 CRISTO REY TTIKARIY,0.0,0.0,0.0,1.0,ESTABLE
1378355,601678,1.0,4.0,0.5636018619766346,0.5730251193553904,ESTABLE
1273960,601580,-1.2,-4.0,-0.5636018619766346,0.5730251193553904,ESTABLE
1263219,601571,-1.5,-8.0,-1.315071011278814,0.18848603806737474,ESTABLE
1682285,601571,-0.2,-3.0,-0.3757345746510897,0.7071142312899614,ESTABLE
1527365,808,0.6666666666666666,1.0,0.0,1.0,ESTABLE
1527340,809,0.3333333333333333,4.0,0.5636018619766346,0.5730251193553904,ESTABLE
1527381,810,-1.25,-12.0,-2.0665401605809937,0.03877750439230665,CAMBIO_LEVE_SIGNIFICATIVO
1527373,812,1.0,2.0,0.18786728732554486,0.8509806870320558,ESTABLE
1262856,601570,0.0,1.0,0.0,1.0,ESTABLE
1457365,LOS RIT'IS DEL ALTO ANDINO,4.5,11.0,1.8786728732554487,0.060289173990602185,ESTABLE
1681212,1341,0.25,2.0,0.18786728732554486,0.8509806870320558,ESTABLE
1236397,TECNICO MARIA TERESA DE JESUS GERHARDINGER,14.0,15.0,2.630142022557628,0.008534920414227098,CRECIMIENTO_SIGNIFICATIVO
1527399,811,0.8,9.0,1.502938298604359,0.13285495573105388,ESTABLE
1715416,1416,1.2,6.0,0.9393364366277244,0.34755803674116903,ESTABLE
1715424,1417,-3.0,-10.0,-1.6908055859299038,0.09087393998624904,ESTABLE
1715440,1419,2.3333333333333335,6.0,0.9393364366277244,0.34755803674116903,ESTABLE
1745710,1558,-1.3333333333333333,-2.0,-0.18786728732554486,0.8509806870320558,ESTABLE
1745728,1559,1.0,6.0,0.9393364366277244,0.34755803674116903,ESTABLE
1785138,36831,1.6666666666666665,6.0,1.224744871391589,0.22067136191984682,ESTABLE
1151695,573,-1.3333333333333333,-11.0,-1.8786728732554487,0.060289173990602185,ESTABLE
1678879,693,-1.3333333333333333,-6.0,-0.9393364366277244,0.34755803674116903,ESTABLE
1781897,64346,1.0,1.0,0.0,1.0,ESTABLE
3025715,5154 SANTIAGO ANTUNEZ DE MAYOLO,28.0,15.0,2.630142022557628,0.008534920414227098,CRECIMIENTO_SIGNIFICATIVO
0428714,36153 SAYRI TUPAC,0.3333333333333333,6.0,1.224744871391589,0.22067136191984682,ESTABLE
0304642,64155,-0.15,0.0,0.0,1.0,ESTABLE
0488403,88225,4.25,5.0,0.9797958971132712,0.327186877790306,ESTABLE
1768829,1574,-0.5,-5.0,-0.7514691493021795,0.4523703606773608,ESTABLE
0600692,NUESTRA SE¥ORA DE LA CANDELARIA,-21.0,-10.0,-2.2045407685048604,0.0274863361115103,DECRECIMIENTO_SIGNIFICATIVO
