codigo_modular,Y1_ILA,Y2_TD,X1_NVC,X2_TR,X4_IDD,X10_IE,X12_TOE,X13_TMATRC,X15_MEIB,X11_RED,X13_TMATRC_CATEGORIA
1527399,,,,,,,,0.8,,7.0,ESTABLE
1715416,,,,,,,,1.2,,12.0,ESTABLE
1715424,,,,,,,,-3.0,,7.0,ESTABLE
1715440,,,,,,,,2.3333333333333335,,16.666666666666668,ESTABLE
1745710,,,,,,,,-1.3333333333333333,,16.0,ESTABLE
1745728,,,,,,,,1.0,,24.0,ESTABLE
697714,,,,,,,,,,21.333333333333332,
421222,,,,,,,,,,35.0,
1785138,,,,,,,,1.6666666666666665,,15.0,ESTABLE
1151695,,,,,,,,-1.3333333333333333,,7.0,ESTABLE
1791433,,,,,,,,,,44.666666666666664,
1791466,,,,,,,,,,37.25,
1678879,,,,,,,,-1.3333333333333333,,14.0,ESTABLE
1781897,,,,,,,,1.0,,6.25,ESTABLE
2533906,,,,,,,,,,,
3025715,,,,,,,,28.0,,12.333333333333334,CRECIMIENTO_SIGNIFICATIVO
0428714,,,,,,,,0.3333333333333333,,12.5,ESTABLE
0304642,,,,,,,,-0.15,,20.25,ESTABLE
0488403,,,,,,,,4.25,,9.0,ESTABLE
0481093,,,,,,,,,,13.25,
1768829,,,,,,,,-0.5,,7.0,ESTABLE
0600692,,,,,,,,-21.0,,7.571428571428571,DECRECIMIENTO_SIGNIFICATIVO
