codigo_modular,nombre_institucion,numero_fya,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X10_IE,X11_RED,X12_TOE,X13_TMATRC,X15_MEIB,X13_TMATRC_CATEGORIA
487140,50854,44,,0.33809999999999996,,,,,,8.5,,-5.5,,DECRECIMIENTO_SIGNIFICATIVO
519793,50912,44,,0.24929999999999994,,,,,,8.666666666666666,,-0.8,,ESTABLE
520221,86809,54,,-0.005499999999999949,,,,,,8.0,,-2.0,,CAMBIO_LEVE_SIGNIFICATIVO
530535,64641,72,,-0.00495000000000001,,,,,,5.0,,0.0,,ESTABLE
541201,88247 SAN ENRIQUE,54,,0.10714999999999997,,,,,,14.5,,-1.8,,ESTABLE
552661,15314,48,,0.16459999999999997,,,,,,13.5,,1.0,,ESTABLE
561084,SAGRADO CORAZON DE JESUS,48,,0.13045000000000007,,,,,,22.333333333333332,,1.8,,ESTABLE
571232,58,48,,0.16459999999999997,,,,,,16.75,,2.0,,ESTABLE
571356,14924 DANIEL ALCIDES CARRION,48,,0.16459999999999997,,,,,,22.5,,-12.75,,ESTABLE
571745,14894,48,,0.16459999999999997,,,,,,10.0,,-1.6666666666666667,,ESTABLE
579987,JORGE CHAVEZ,79,,0.07209999999999994,,,,,,4.842105263157895,,-11.2,,DECRECIMIENTO_SIGNIFICATIVO
592428,50976,44,,0.24340000000000006,,,,,,14.666666666666666,,-1.6666666666666667,,ESTABLE
592543,50977,44,,0.06600000000000006,,,,,,17.0,,-4.0,,DECRECIMIENTO_SIGNIFICATIVO
595082,294,72,,-0.00495000000000001,,,,,,31.0,,1.8,,ESTABLE
595108,295,72,,-0.00495000000000001,,,,,,16.0,,1.0,,ESTABLE
600692,NUESTRA SEÑORA DE LA CANDELARIA,79,,0.03205000000000002,,,,,,7.571428571428571,,,,
613943,14975,48,,0.20565,,,,,,21.75,,-2.5,,ESTABLE
626424,15055,48,,0.16459999999999997,,,,,,7.0,,-1.25,,CAMBIO_LEVE_SIGNIFICATIVO
633040,156,79,,0.03205000000000002,,,,,,9.0,,0.4,,ESTABLE
651398,6010178,47,,0.10234999999999993,,,,,,7.0,,0.8,,ESTABLE
657122,64798,72,,-0.00495000000000001,,,,,,11.666666666666666,,2.5,,ESTABLE
666677,64829,72,,0.4,,,,,,12.0,,0.0,,ESTABLE
673780,15478,48,,0.1973,,,,,,10.0,,-0.6666666666666666,,CAMBIO_LEVE_SIGNIFICATIVO
674895,14045,48,,0.1973,,,,,,11.5,,0.2,,ESTABLE
682211,EL MILAGRO,47,,0.022599999999999953,,,,,,21.0,,13.666666666666666,,CRECIMIENTO_SIGNIFICATIVO
683466,6010230 BARBARA D'ACHILLE,47,,0.10234999999999993,,,,,,13.0,,-2.0,,ESTABLE
683474,6010231,47,,0.10234999999999993,,,,,,16.23076923076923,,-1.0,,ESTABLE
686386,88327,54,,0.1812999999999999,,,,,,13.5,,0.0,,ESTABLE
686741,177,79,,0.03205000000000002,,,,,,9.0,,-4.25,,ESTABLE
687194,36465 MICAELA BASTIDAS PUYUCAHUA,79,,0.03205000000000002,,,,,,9.0,,-0.25,,ESTABLE
697714,37003,79,,0.03205000000000002,,,,,,21.333333333333332,,,,
715011,333-B,72,,-0.00495000000000001,,,,,,17.25,,9.0,,ESTABLE
721639,404,47,,0.10234999999999993,,,,,,6.0,,-0.25,,ESTABLE
721647,405,47,,0.10234999999999993,,,,,,26.0,,0.0,,ESTABLE
733535,64871-B,72,,-0.09194999999999998,,,,,,20.4,,11.5,,ESTABLE
733600,64873-B,72,,-0.25939999999999996,,,,,,17.25,,8.5,,CRECIMIENTO_SIGNIFICATIVO
737783,467,48,,0.16459999999999997,,,,,,10.0,,-1.0,,ESTABLE
737791,469,48,,0.16459999999999997,,,,,,14.0,,3.0,,ESTABLE
738203,475,47,,0.10234999999999993,,,,,,6.5,,-2.0,,CAMBIO_LEVE_SIGNIFICATIVO
738419,601330,47,,0.10234999999999993,,,,,,2.0,,1.0,,ESTABLE
738427,601331,47,,0.12760000000000005,,,,,,10.5,,,,
740365,RAMON CASTILLA MARQUEZADO,79,,-0.0022999999999999687,,,,,,7.333333333333333,,-2.25,,ESTABLE
807156,64949,72,,-0.00495000000000001,,,,,,6.5,,-1.5,,ESTABLE
818682,87009-01,54,,0.10714999999999997,,,,,,18.25,,2.2,,ESTABLE
830885,64996,72,,0.3017500000000001,,,,,,9.0,,2.3333333333333335,,CRECIMIENTO_SIGNIFICATIVO
838455,HUARAC HUARAN,54,,0.10714999999999997,,,,,,12.0,,0.0,,ESTABLE
840504,20123,48,,0.21955000000000002,,,,,,9.0,,-0.5,,ESTABLE
840595,20104,48,,0.028549999999999964,,,,,,21.5,,0.3333333333333333,,ESTABLE
916023,14144 SANTA ROSA,48,,0.16459999999999997,,,,,,18.3,,19.6,,ESTABLE
933937,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,,0.22209999999999994,,,,,,19.0,,,,
933960,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,44,,0.22209999999999994,,,,,,19.789473684210527,,-9.0,,ESTABLE
937813,489 JOSE MARIA VELAZ,48,,0.16459999999999997,,,,,,17.0,,0.75,,ESTABLE
938118,731,48,,0.16459999999999997,,,,,,17.666666666666668,,3.5,,ESTABLE
938142,732 VIRGEN DE MONSERRAT,48,,0.16459999999999997,,,,,,21.571428571428573,,-0.25,,ESTABLE
