CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,X2_TR,X10_IE,fuente,metodo,nivel_infraestructura,conectividad_digital,equipamiento_tecnologico,infraestructura_electrica,internet_operativo,equipos_total,tiene_electricidad
686741,177,79,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
428771,36173 SANTIAGO ANTUNEZ DE MAYOLO,79,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
687194,36465 MICAELA BASTIDAS PUYUCAHUA,79,2,0.483,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.71,0.85,0.0,14.0,1.0
579987,JORGE CHAVEZ,79,2,0.7965,conectividad_equipamiento,calculo_directo,Alta (0.6-0.8),0.802,0.7516,0.85,1.0,124.0,1.0
1320001,601614,47,2,0.525,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.79,0.94,0.0,6.0,1.0
721639,404,47,2,0.4922,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.7407,0.85,0.0,27.0,1.0
721647,405,47,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
738203,475,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1151331,536 MI CASITA DEL SABER,47,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
1151414,538,47,2,0.814,conectividad_equipamiento,calculo_directo,Muy Alta (0.8-1.0),0.802,0.81,0.85,1.0,14.0,1.0
1152057,604,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1152255,656,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1152321,678,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1261577,60133,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
398313,60133,47,2,0.4318,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.5395,0.85,0.0,342.0,1.0
398347,60136,47,2,0.2135,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.2783,0.15,0.0,3.0,0.0
398370,60181,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
738419,601330,47,2,0.142,conectividad_equipamiento,calculo_directo,Muy Baja (0-0.2),0.2,0.0,0.21,0.0,0.0,0.0
738427,601331,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1147735,601331,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
