CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,LATITUD,LONGITUD,ALTITUD_MSNM,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X5_ED,X6_CDD,X10_IE,X11_RED,X12_TOE,X15_MEIB,Y1_ILA_ZSCORE,Y2_TD_ZSCORE,Y3_PR_ZSCORE,X1_NVC_ZSCORE,X4_IDD_ZSCORE,X5_ED_ZSCORE,X6_CDD_ZSCORE,X10_IE_ZSCORE,X11_RED_ZSCORE,FECHA_CALCULO
428771,36173 SANTIAGO ANTUNEZ DE MAYOLO,79,-12.8506,-74.538,3351.0,1.6577,0.15422643085921184,,,,,,,,12.333333333333334,,,,,,,,,,,12.333333333333334,2025-08-10 03:01:01
687194,36465 MICAELA BASTIDAS PUYUCAHUA,79,-12.8618,-74.5052,3568.0,1.5003,0.04463166689876065,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
579987,JORGE CHAVEZ,79,-12.8506,-74.5385,3354.0,1.5003,0.10633434112528566,,,,,,,,4.842105263157895,,,,,,,,,,,4.842105263157895,2025-08-10 03:01:01
1320001,601614,47,-3.906227,-73.4136,104.0,1.418,0.16871342619302718,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
721639,404,47,-3.90885,-73.33874,103.0,1.418,0.16871342619302718,,,,,,,,6.0,,,,,,,,,,,6.0,2025-08-10 03:01:01
721647,405,47,-4.230595,-73.48736,96.0,1.418,0.16871342619302718,,,,,,,,26.0,,,,,,,,,,,26.0,2025-08-10 03:01:01
738203,475,47,-3.94947,-73.36164,121.0,1.418,0.16871342619302718,,,,,,,,6.5,,,,,,,,,,,6.5,2025-08-10 03:01:01
1151331,536 MI CASITA DEL SABER,47,-4.012181,-73.43333,139.0,1.418,0.16871342619302718,,,,,,,,17.666666666666668,,,,,,,,,,,17.666666666666668,2025-08-10 03:01:01
1151414,538,47,-4.092448,-73.45277,99.0,1.418,0.16871342619302718,,,,,,,,17.5,,,,,,,,,,,17.5,2025-08-10 03:01:01
1152057,604,47,-4.071599,-73.44553,100.0,1.418,0.16871342619302718,,,,,,,,12.0,,,,,,,,,,,12.0,2025-08-10 03:01:01
1152255,656,47,-3.97829,-73.38414,107.0,1.418,0.16871342619302718,,,,,,,,6.0,,,,,,,,,,,6.0,2025-08-10 03:01:01
1152321,678,47,-3.939339,-73.37488,130.0,1.418,0.16871342619302718,,,,,,,,14.0,,,,,,,,,,,14.0,2025-08-10 03:01:01
1261577,60133,47,-4.231024,-73.48778,96.0,1.2404,-0.0008860249697946846,,,,,,,,28.571428571428573,,,,,,,,,,,28.571428571428573,2025-08-10 03:01:01
398313,60133,47,-4.231024,-73.48778,96.0,1.418,0.16871342619302718,,,,,,,,20.272727272727273,,,,,,,,,,,20.272727272727273,2025-08-10 03:01:01
398347,60136,47,-3.91543,-73.34032,99.0,1.0667,-0.12082749526085887,,,,,,,,7.0,,,,,,,,,,,7.0,2025-08-10 03:01:01
398370,60181,47,-4.099999,-73.40438,99.0,1.418,0.16871342619302718,,,,,,,,8.0,,,,,,,,,,,8.0,2025-08-10 03:01:01
738419,601330,47,-4.020995,-73.42369,114.0,1.418,0.16871342619302718,,,,,,,,2.0,,,,,,,,,,,2.0,2025-08-10 03:01:01
738427,601331,47,-4.021036,-73.43295,124.0,1.5278,0.20053433914820062,,,,,,,,10.5,,,,,,,,,,,10.5,2025-08-10 03:01:01
1147735,601331,47,-4.021036,-73.43295,124.0,1.418,0.16871342619302718,,,,,,,,15.714285714285714,,,,,,,,,,,15.714285714285714,2025-08-10 03:01:01
1153527,601391,47,-4.00334,-73.46991,116.0,1.418,0.16871342619302718,,,,,,,,7.5,,,,,,,,,,,7.5,2025-08-10 03:01:01
1153881,601444,47,-4.154128,-73.47423,103.0,1.4,0.15387785378719185,,,,,,,,12.0,,,,,,,,,,,12.0,2025-08-10 03:01:01
1153964,601448,47,-3.939261,-73.37511,131.0,1.5714,0.33929941191511115,,,,,,,,15.0,,,,,,,,,,,15.0,2025-08-10 03:01:01
1154129,601496,47,-4.06489,-73.47512,113.0,1.418,0.16871342619302718,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
1563212,601511,47,-4.123805,-73.4483,106.0,1.3333,0.09890381603890207,,,,,,,,9.0,,,,,,,,,,,9.0,2025-08-10 03:01:01
1154368,601511,47,-4.123805,-73.4483,106.0,1.418,0.16871342619302718,,,,,,,,11.0,,,,,,,,,,,11.0,2025-08-10 03:01:01
1154400,601514,47,-3.954216,-73.40653,129.0,1.9167,0.5797412016813649,,,,,,,,9.333333333333334,,,,,,,,,,,9.333333333333334,2025-08-10 03:01:01
1154608,601528,47,-4.042254,-73.4378,111.0,1.418,0.16871342619302718,,,,,,,,6.5,,,,,,,,,,,6.5,2025-08-10 03:01:01
1148402,6010102,47,-3.948718,-73.36192,133.0,1.7,0.4011373938844473,,,,,,,,15.666666666666666,,,,,,,,,,,15.666666666666666,2025-08-10 03:01:01
651398,6010178,47,-3.97832,-73.38423,107.0,1.418,0.16871342619302718,,,,,,,,7.0,,,,,,,,,,,7.0,2025-08-10 03:01:01
1210491,6010230 BARBARA D'ACHILLE,47,-4.071509,-73.44612,106.0,1.2632,0.07250806588554945,,,,,,,,7.714285714285714,,,,,,,,,,,7.714285714285714,2025-08-10 03:01:01
683466,6010230 BARBARA D'ACHILLE,47,-4.071509,-73.44612,106.0,1.418,0.16871342619302718,,,,,,,,13.0,,,,,,,,,,,13.0,2025-08-10 03:01:01
1527233,6010231,47,-4.091835,-73.4532,97.0,1.5023,0.23819335696035598,,,,,,,,18.666666666666668,,,,,,,,,,,18.666666666666668,2025-08-10 03:01:01
683474,6010231,47,-4.091835,-73.4532,97.0,1.418,0.16871342619302718,,,,,,,,16.23076923076923,,,,,,,,,,,16.23076923076923,2025-08-10 03:01:01
682211,EL MILAGRO,47,-3.93753,-73.37275,136.0,1.2467,0.037619642114024056,,,,,,,,21.0,,,,,,,,,,,21.0,2025-08-10 03:01:01
1261775,601563,47,-4.203145,-73.47933,98.0,1.5,0.23629770048627705,,,,,,,,9.5,,,,,,,,,,,9.5,2025-08-10 03:01:01
571232,58,48,-4.9417,-80.2393,98.0,1.6679,0.2459102113991185,,,,,,,,16.75,,,,,,,,,,,16.75,2025-08-10 03:01:01
737783,467,48,-4.8548,-80.2225,140.0,1.6679,0.2459102113991185,,,,,,,,10.0,,,,,,,,,,,10.0,2025-08-10 03:01:01
737791,469,48,-4.8479,-80.217,136.0,1.6679,0.2459102113991185,,,,,,,,14.0,,,,,,,,,,,14.0,2025-08-10 03:01:01
937813,489 JOSE MARIA VELAZ,48,-4.9175,-80.2198,103.0,1.6679,0.2459102113991185,,,,,,,,17.0,,,,,,,,,,,17.0,2025-08-10 03:01:01
938118,731,48,-4.9632,-80.2756,78.0,1.6679,0.2459102113991185,,,,,,,,17.666666666666668,,,,,,,,,,,17.666666666666668,2025-08-10 03:01:01
938142,732 VIRGEN DE MONSERRAT,48,-4.9286,-80.2506,92.0,1.6679,0.2459102113991185,,,,,,,,21.571428571428573,,,,,,,,,,,21.571428571428573,2025-08-10 03:01:01
674895,14045,48,-4.85,-80.1801,173.0,1.7333,0.29476357660416824,,,,,,,,11.5,,,,,,,,,,,11.5,2025-08-10 03:01:01
260307,14141,48,-4.855,-80.2233,144.0,1.2222,-0.08702472547994326,,,,,,,,12.0,,,,,,,,,,,12.0,2025-08-10 03:01:01
