id,codigo_modular,codigo_local,numero_procedimiento,nombre_institucion,region,provincia,distrito,departamento,direccion,localidad,centro_poblado,area_censo,latitud,longitud,altitud,nivel_educativo,modalidad,modalidad_especifica,gestion,gestion_departamental,tipo_sexo,turno,codigo_carrera,total_alumnos,alumnos_hombres,alumnos_mujeres,total_docentes,total_secciones,directivos_hombres,directivos_mujeres,directivos_total,docentes_hombres,docentes_mujeres,docentes_total,es_rural,es_eib,director,telefono,email,numero_fya,unidad_ejecutora,multiplicidad1,multiplicidad2,id_red_fya,nombre_red_fya_matched,entra_estudio_clustering,ILA_2022,ILA_2023,ILA_2024,X11_RED,matric_siagie_2019,matric_siagie_2020,matric_siagie_2021,matric_siagie_2022,matric_siagie_2023,matric_siagie_2024,total_docentes_ajustado,X11_RED_ajustado,metodo_ajuste,TEND_MATRICULA,TEND_MATRICULA_CATEGORIA,TEND_MATRICULA_R2,TEND_CAMBIO_PORCENTUAL,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,Y3_PR_Comunicacion,Y3_PR_Matematica,Y3_PR_Produccion_Textos
72.0,409797,168023,3AP,50504,DRE CUSCO,QUISPICANCHI,URCOS,CUSCO,UMUTO,nan,UMUTO,Rural,-13.64324,-71.54927,3813.0,Primaria,Escolarizada,RER,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Polidocente Completo,132,69,63,9,7,0.0,1.0,1.0,4.0,4.0,8.0,1,0,SALAS CRUZ VICTORIA,nan,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.4559,1.5668,1.7418,14.666666666666666,173.0,164.0,163.0,150.0,150.0,128.0,9.0,14.666666666666666,SIN_AJUSTE,-8.891891891891891,DECRECIMIENTO,0.9582156673542197,-26.011560693641616,-7.666666666666667,DECRECIMIENTO_SIGNIFICATIVO,0.014595034919316685,9.322210669776798,0.0,0.0,
73.0,410118,168056,3AP,50536,DRE CUSCO,QUISPICANCHI,URCOS,CUSCO,CCOÑAMURO,nan,CCOÑAMURO,Rural,-13.6226,-71.6391,3836.0,Primaria,Escolarizada,RER,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Polidocente multigrado,39,18,21,3,6,1.0,0.0,1.0,0.0,2.0,2.0,1,0,GUTIERREZ ROJAS HERLINDA,nan,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.25,1.5668,1.7418,13.0,52.0,51.0,46.0,45.0,40.0,39.0,3.0,13.0,SIN_AJUSTE,-2.675675675675676,ESTABLE,0.9702999702999704,-25.0,-3.0,DECRECIMIENTO_SIGNIFICATIVO,0.008534920414227098,10.8229206613144,0.0,0.0,
74.0,933937,168297,1A,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,CUSCO,CALLE AREQUIPA 915,ANDAHUAYLILLAS,ANDAHUAYLILLAS,Urbana,-13.67716,-71.67811,3148.0,Inicial - Jardín,Escolarizada,EBR,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,No aplica,152,81,71,8,8,0.0,0.0,0.0,0.0,8.0,8.0,0,0,LOAIZA LOAIZA MILUSKA,220210,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.2976,1.5668,1.7418,19.0,,,,,,,8.0,19.0,SIN_AJUSTE,,,,,,,,,,,
75.0,933960,168297,3AP,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,CUSCO,CALLE AREQUIPA 915,ANDAHUAYLILLAS,ANDAHUAYLILLAS,Urbana,-13.67716,-71.67811,3148.0,Primaria,Escolarizada,EBR,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Polidocente Completo,376,177,199,19,15,0.0,1.0,1.0,4.0,14.0,18.0,0,0,CONDORCAHUA RODRIGUEZ LIVIA ZULEMA,220210,nan,44,UGEL QUISPICANCHI,2.0,2.0,39,Red Fe y Alegría 44,Sí,1.2976,1.5668,1.7418,19.789473684210527,565.0,579.0,581.0,561.0,554.0,503.0,19.0,19.789473684210527,SIN_AJUSTE,-13.2972972972973,DECRECIMIENTO,0.6457037376895254,-10.973451327433628,-9.0,ESTABLE,0.13285495573105388,4.67154589909963,,,
76.0,410316,168443,3AP,50558,DRE CUSCO,QUISPICANCHI,CCARHUAYO,CUSCO,PARCCOCALLA,nan,PARCCOCALLA,Rural,-13.51888,-71.44861,3532.0,Primaria,Escolarizada,RER,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Polidocente multigrado,40,27,13,4,6,1.0,0.0,1.0,1.0,2.0,3.0,1,0,MOLINA JURADO NILBERT,nan,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.4537,1.5668,2.0,10.0,63.0,73.0,68.0,60.0,46.0,37.0,4.0,10.0,SIN_AJUSTE,-5.95945945945946,DECRECIMIENTO,0.6819205037938822,-41.269841269841265,-8.0,ESTABLE,0.060289173990602185,21.629197228773243,0.0023699999999999997,0.002222,
77.0,1062058,168508,3AP,501344,DRE CUSCO,QUISPICANCHI,CCARHUAYO,CUSCO,CCASAPATA,nan,CCASAPATA,Rural,-13.5649,-71.396,3851.0,Primaria,Escolarizada,RER,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Polidocente multigrado,15,11,4,2,6,0.0,0.0,0.0,0.0,2.0,2.0,1,1,SOTA PULIDO PILAR MARGOT,nan,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.4412,1.5668,1.8333,7.5,24.0,23.0,23.0,19.0,18.0,15.0,2.0,7.5,SIN_AJUSTE,-1.8783783783783785,ESTABLE,0.919347164065474,-37.5,-1.8,CAMBIO_LEVE_SIGNIFICATIVO,0.014595034919316685,15.97835138493273,0.0,9.499999999999999e-05,
78.0,409706,168626,3AP,50495,DRE CUSCO,QUISPICANCHI,CCATCA,CUSCO,CCAPANA,nan,CCAPANA,Rural,-13.5485,-71.45596,3301.0,Primaria,Escolarizada,RER,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Polidocente multigrado,47,23,24,3,6,0.0,1.0,1.0,1.0,1.0,2.0,1,0,FERNANDEZ TAIRO JHON ALEX,nan,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.3408,1.76,1.5,15.666666666666666,57.0,56.0,55.0,49.0,49.0,47.0,3.0,15.666666666666666,SIN_AJUSTE,-2.2162162162162162,ESTABLE,0.8996521273748996,-17.543859649122805,-2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.014595034919316685,7.540206850610829,0.000515,0.001429,
79.0,410100,168669,3AP,50535,DRE CUSCO,QUISPICANCHI,CCATCA,CUSCO,HUARAHUARA,nan,HUARA HUARA,Rural,-13.59216,-71.65474,3905.0,Primaria,Escolarizada,RER,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Polidocente Completo,94,45,49,7,6,0.0,1.0,1.0,4.0,2.0,6.0,1,0,ALVAREZ VILLALOBOS EDGAR,nan,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.2214,1.5668,1.7418,13.428571428571429,122.0,117.0,115.0,122.0,107.0,94.0,7.0,13.428571428571429,SIN_AJUSTE,-4.797297297297297,ESTABLE,0.6331005726916508,-22.950819672131146,-4.0,ESTABLE,0.09087393998624904,8.704898728601224,0.0005,0.0,
80.0,204933,168706,3AP,50715,DRE CUSCO,QUISPICANCHI,CCATCA,CUSCO,LLACHI,nan,LLACHI,Rural,-13.59988,-71.45402,3609.0,Primaria,Escolarizada,RER,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Unidocente multigrado,8,5,3,1,6,0.0,1.0,1.0,0.0,0.0,0.0,1,0,CRUZ PAREDES EDITH,nan,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.0,1.7,1.6667,8.0,18.0,17.0,14.0,13.0,9.0,8.0,1.0,8.0,SIN_AJUSTE,-2.027027027027027,ESTABLE,0.980819529206626,-55.55555555555556,-2.0,CAMBIO_LEVE_SIGNIFICATIVO,0.008534920414227098,28.219616214693616,0.0,0.0,
81.0,519793,168730,3AP,50912,DRE CUSCO,QUISPICANCHI,CCATCA,CUSCO,CUYUNI,nan,CUYUNI,Rural,-13.6172,-71.57626,3933.0,Primaria,Escolarizada,RER,Pública de gestión privada,Convenio con Sector Educación,Mixto,Mañana,Polidocente multigrado,26,7,19,3,6,0.0,1.0,1.0,1.0,1.0,2.0,1,0,MORMONTOY CAÑARI JULIO CESAR,nan,nan,44,UGEL QUISPICANCHI,1.0,1.0,39,Red Fe y Alegría 44,Sí,1.2432,1.5668,1.7418,8.666666666666666,30.0,29.0,33.0,30.0,27.0,26.0,3.0,8.666666666666666,SIN_AJUSTE,-0.7162162162162162,ESTABLE,0.3012655512655513,-13.333333333333334,-0.8,ESTABLE,0.18848603806737496,7.772268862134539,9.1e-05,0.0,
