codigo_local,nombre_institucion,region,provincia,distrito,codigos_modulares,niveles_educativos,modalidades,area_censo,es_rural,es_fya,total_alumnos,total_docentes,latitud,longitud,numero_fya,unidad_ejecutora
176358,36166 HEROES 29 DE AGOSTO,DRE HUANCAVELICA,ACOBAMBA,MARCAS,420430,Primaria,RER,Rural,1,1,51,4.0,-12.8897,-74.3996,RER FA 79,UGEL ACOBAMBA
176363,36167,DRE HUANCAVELICA,ACOBAMBA,MARCAS,420448,Primaria,RER,Rural,1,1,8,1.0,-12.84032,-74.41306,RER FA 79,UGEL ACOBAMBA
176400,36201 NUESTRA SEÑORA DEL ROSARIO,DRE HUANCAVELICA,ACOBAMBA,MARCAS,420562,Primaria,RER,Rural,1,1,8,1.0,-12.9072,-74.4334,RER FA 79,UGEL ACOBAMBA
176419,RAMON CASTILLA MARQUEZADO,DRE HUANCAVELICA,ACOBAMBA,MARCAS,740365,Secundaria,RER,Rural,1,1,66,9.0,-12.8876,-74.398,RER FA 79,UGEL ACOBAMBA
176711,177,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,686741,Inicial - Jardín,RER,Rural,1,1,18,2.0,-12.8508,-74.5382,RER FA 79,UGEL ACOBAMBA
176787,36173 SANTIAGO ANTUNEZ DE MAYOLO,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,428771,Primaria,RER,Rural,1,1,74,6.0,-12.8506,-74.538,RER FA 79,UGEL ACOBAMBA
176829,36465 MICAELA BASTIDAS PUYUCAHUA,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,687194,Primaria,RER,Rural,1,1,9,1.0,-12.8618,-74.5052,RER FA 79,UGEL ACOBAMBA
176834,JORGE CHAVEZ,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,579987,Secundaria,RER,Rural,1,1,92,19.0,-12.8506,-74.5385,RER FA 79,UGEL ACOBAMBA
202140,LA SAGRADA FAMILIA FE Y ALEGRIA 64,DRE HUANUCO,LEONCIO PRADO,RUPA-RUPA,"290346, 290809","Primaria, Secundaria",EBR,Urbana,0,1,747,35.0,-9.302513,-76.00295,FA 64,UGEL LEONCIO PRADO
210593,FE Y ALEGRIA,DRE ICA,ICA,ICA,1397348,Básica Alternativa-Avanzado,EBA,Urbana,0,1,187,8.0,-14.05978,-75.72976,FA 82,UGEL ICA
215944,FE Y ALEGRIA 30,DRE ICA,CHINCHA,PUEBLO NUEVO,"1425875, 636704, 714410","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1150,52.0,-13.39551,-76.13978,FA 30,UGEL CHINCHA
254148,FE Y ALEGRIA 36,DRE LA LIBERTAD,TRUJILLO,LA ESPERANZA,"1444223, 577841, 757872","Inicial - Jardín, Secundaria, Primaria",EBR,Urbana,0,1,1301,61.0,-8.0745,-79.0618,FA 36,UGEL 02 - LA ESPERANZA
27453,86548 JOSE MARIA VELAZ,DRE ANCASH,HUAYLAS,PAMPAROMAS,"1315084, 1376268, 414987","Secundaria, Inicial - Jardín, Primaria",RER,Rural,1,1,249,20.0,-9.2117,-77.9645,RER FA 54,UGEL HUAYLAS
27504,86731,DRE ANCASH,HUAYLAS,PAMPAROMAS,415059,Primaria,RER,Rural,1,1,7,1.0,-9.190619,-77.99803,RER FA 54,UGEL HUAYLAS
2754,NUESTRA SEÑORA DE GUADALUPE FE Y ALEGRIA 31,DRE AMAZONAS,BAGUA,LA PECA,"1105329, 1250323, 1735729, 658427, 676734","Inicial - Jardín, Básica Especial-Primaria, Básica Especial-Inicial, Secundaria, Primaria","EBR, EBE",Urbana,0,1,486,42.0,-5.6091,-78.4379,FA 31,UGEL BAGUA
27556,86769 ABRAHAM VALDELOMAR,DRE ANCASH,HUAYLAS,PAMPAROMAS,"1608132, 1633189, 415117","Inicial - Jardín, Secundaria, Primaria",RER,Rural,1,1,92,13.0,-9.191896,-77.98308,RER FA 54,UGEL HUAYLAS
27561,86783,DRE ANCASH,HUAYLAS,PAMPAROMAS,"1376300, 415141","Secundaria, Primaria",RER,Rural,1,1,165,13.0,-9.191011,-78.0417,RER FA 54,UGEL HUAYLAS
27575,86809,DRE ANCASH,HUAYLAS,PAMPAROMAS,520221,Primaria,RER,Rural,1,1,16,2.0,-9.23742,-77.9687,RER FA 54,UGEL HUAYLAS
27603,87009-01,DRE ANCASH,HUAYLAS,PAMPAROMAS,"1551944, 818682","Inicial - Jardín, Primaria",RER,Rural,1,1,115,7.0,-9.199093,-78.02747,RER FA 54,UGEL HUAYLAS
276348,FE Y ALEGRIA 28,DRE LAMBAYEQUE,CHICLAYO,CHICLAYO,"1130012, 571562, 580514","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1374,69.0,-6.77826,-79.86399,FA 28,UGEL CHICLAYO
27641,88247 SAN ENRIQUE,DRE ANCASH,HUAYLAS,PAMPAROMAS,"1376318, 541201","Inicial - Jardín, Primaria",RER,Rural,1,1,43,3.0,-9.201528,-77.99841,RER FA 54,UGEL HUAYLAS
27716,88327,DRE ANCASH,HUAYLAS,PAMPAROMAS,686386,Primaria,RER,Rural,1,1,27,2.0,-9.205055,-77.97856,RER FA 54,UGEL HUAYLAS
294979,FE Y ALEGRIA 53,DRE LIMA METROPOLITANA,LIMA,ATE,"1268119, 1268150, 1505494","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1194,49.0,-12.00709,-76.82126,FA 53,UGEL 06 ATE
300334,FE Y ALEGRIA 34,DRE LIMA METROPOLITANA,LIMA,CHORRILLOS,"1511849, 689927, 693663","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1081,55.0,-12.19328,-76.98985,FA 34,UGEL 07 SAN BORJA
303064,FE Y ALEGRIA 08,DRE LIMA METROPOLITANA,LIMA,COMAS,"1194695, 433011","Inicial - Jardín, Primaria",EBR,Urbana,0,1,1148,47.0,-11.92078,-77.03832,FA 8,UGEL 04 COMAS
303554,FE Y ALEGRIA 11,DRE LIMA METROPOLITANA,LIMA,COMAS,"433029, 437533","Primaria, Secundaria",EBR,Urbana,0,1,1377,57.0,-11.91561,-77.02516,FA 11,UGEL 04 COMAS
303568,FE Y ALEGRIA 13,DRE LIMA METROPOLITANA,LIMA,COMAS,"1194737, 433045, 495762","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1745,65.0,-11.9128,-77.0094,FA 13,UGEL 04 COMAS
303752,FE Y ALEGRIA 07,DRE LIMA METROPOLITANA,LIMA,COMAS,"435370, 663377","Básica Alternativa-Inicial e Intermedio, Básica Alternativa-Avanzado",EBA,Urbana,0,1,690,21.0,-11.91727,-77.0406,FA 7,UGEL 04 COMAS
303752,FE Y ALEGRIA 10,DRE LIMA METROPOLITANA,LIMA,COMAS,437517,Secundaria,EBR,Urbana,0,1,986,53.0,-11.91727,-77.0406,FA 10,UGEL 04 COMAS
305162,FE Y ALEGRIA 39,DRE LIMA METROPOLITANA,LIMA,EL AGUSTINO,"775296, 775320","Primaria, Secundaria",EBR,Urbana,0,1,1465,62.0,-12.0433,-76.9899,FA 39,UGEL 05 SAN JUAN DE LURIGANCHO
314519,FE Y ALEGRIA 41,DRE LIMA METROPOLITANA,LIMA,LURIGANCHO,"1041631, 1275577, 778076","Secundaria, Inicial - Jardín, Primaria",EBR,Urbana,0,1,1127,47.0,-11.98122,-76.83804,FA 41,UGEL 06 ATE
320087,3711 FE Y ALEGRIA 12,DRE LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,"1194778, 433037, 437525","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1000,49.0,-11.86997,-77.08678,FA 12,UGEL 04 COMAS
326782,FE Y ALEGRIA 04,DRE LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,"1070630, 334995","Inicial - Jardín, Primaria",EBR,Urbana,0,1,1152,48.0,-12.02298,-77.01023,FA 4,UGEL 05 SAN JUAN DE LURIGANCHO
326819,FE Y ALEGRIA 25,DRE LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,"1504026, 510404, 535724, 664763, 901918","Inicial - Jardín, Primaria, Secundaria, Básica Especial-Primaria, Técnico Productiva","EBR, EBE, CETPRO",Urbana,0,1,1847,91.0,-11.96909,-77.01104,FA 25,UGEL 05 SAN JUAN DE LURIGANCHO
326824,FE Y ALEGRIA 26,DRE LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,"541219, 578450","Primaria, Secundaria",EBR,Urbana,0,1,1492,66.0,-11.95866,-76.99463,FA 26,UGEL 05 SAN JUAN DE LURIGANCHO
326838,FE Y ALEGRIA 32,DRE LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,"1191808, 1788264, 665455, 900647","Técnico Productiva, Básica Alternativa-Avanzado, Primaria, Secundaria","CETPRO, EBA, EBR",Urbana,0,1,1585,70.0,-11.94083,-76.99132,FA 32,UGEL 05 SAN JUAN DE LURIGANCHO
326843,FE Y ALEGRIA 37,DRE LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,"1072297, 1192921, 1737394, 762500, 762880","Básica Especial-Primaria, Inicial - Jardín, Básica Especial-Inicial, Primaria, Secundaria","EBE, EBR",Urbana,0,1,1481,71.0,-11.93722,-76.97265,FA 37,UGEL 05 SAN JUAN DE LURIGANCHO
327611,FE Y ALEGRIA 05,DRE LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,336891,Secundaria,EBR,Urbana,0,1,932,53.0,-12.02471,-77.01012,FA 5,UGEL 05 SAN JUAN DE LURIGANCHO
331590,601614,DRE LORETO,MAYNAS,SAN JUAN BAUTISTA,1320001,Primaria,RER,Rural,1,1,9,1.0,-3.906227,-73.4136,RER FA 47,UGEL MAYNAS
331745,FE Y ALEGRIA 3,DRE LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,"1332659, 323865, 329326","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1456,76.0,-12.14995,-76.96923,FA 3,UGEL 01 SAN JUAN DE MIRAFLORES
336106,2009 FE Y ALEGRIA 2,DRE LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,435446,Inicial - Jardín,EBR,Urbana,0,1,101,4.0,-12.0241,-77.0768,FA 2,UGEL 02 RÍMAC
336111,2009 FE Y ALEGRIA 2,DRE LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,"436204, 437541","Primaria, Secundaria",EBR,Urbana,0,1,1479,67.0,-12.023,-77.0755,FA 2,UGEL 02 RÍMAC
336125,3701 FE Y ALEGRIA 1,DRE LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,"437509, 820779","Secundaria, Primaria",EBR,Urbana,0,1,941,49.0,-12.02797,-77.06665,FA 1,UGEL 02 RÍMAC
345144,FE Y ALEGRIA 17,DRE LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,"1241926, 323873, 481820","Inicial - Jardín, Primaria, Secundaria",EBR,Urbana,0,1,1436,73.0,-12.21903,-76.93344,FA 17,UGEL 01 SAN JUAN DE MIRAFLORES
348388,FE Y ALEGRIA 23,DRE LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,"496877, 583021, 775379","Primaria, Secundaria, Técnico Productiva","EBR, CETPRO",Urbana,0,1,1508,71.0,-12.14954,-76.94456,FA 23,UGEL 01 SAN JUAN DE MIRAFLORES
348411,FE Y ALEGRIA 24,DRE LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,"493338, 582932","Primaria, Secundaria",EBR,Urbana,0,1,1299,61.0,-12.13874,-76.94646,FA 24,UGEL 01 SAN JUAN DE MIRAFLORES
349203,FE Y ALEGRIA 35,DRE LIMA PROVINCIAS,BARRANCA,BARRANCA,"761585, 761668","Primaria, Secundaria",EBR,Urbana,0,1,919,44.0,-10.74568,-77.75192,FA 35,UGEL 16 BARRANCA
