CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,LATITUD,LONGITUD,ALTITUD_MSNM,Y1_ILA,Y2_TD,Y3_PR,X1_NVC,X2_TR,X4_IDD,X5_ED,X6_CDD,X10_IE,X11_RED,X12_TOE,X15_MEIB,X13_TMATRC,X14_NIVEL_EDUCATIVO,X16_MODALIDAD,X17_GESTION,X18_TURNO,X19_ORGANIZACION_PEDAGOGICA,X20_DIRECTIVOS_TOTAL,X21_MULTIPLICIDAD1,X22_MULTIPLICIDAD2,X24_GPMD,X25_POBLACION_DISTRITO,CLUSTER_KMEANS,TIPOLOGIA_KMEANS,SILHOUETTE_SCORE,DISTANCIA_CENTROIDE,Y1_ILA_PREDICHO,RESIDUOS,PRO_SCORE,CATEGORIA_RESILIENCIA,CATEGORIA_RIESGO,REGION_DASHBOARD,CATEGORIA_ALTITUD,CATEGORIA_TAMAÑO
410266,50553,44,-13.67753,-71.2426,4150.0,1.483565107458913,2.0,2.0,5.0,2,3.788699415305931,1.0,2.098159509202454,0.3,6.0,1,1,-5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,18587.0,6,Especializadas,0.22408923632028538,2.196126134463203,1.4825761416101453,0.00098896584876762,0.005740283818669936,Desempeño Esperado,Riesgo Moderado,Sierra Sur,Puna (>4000m),Pequeña (≤10 est/doc)
204974,50719 VIRGEN DEL CARMEN,44,-13.66704,-71.31985,3771.0,1.3866016260162601,3.0,2.0,5.0,2,3.788436908332684,0.5333333333333333,2.098159509202454,0.8,19.933333333333334,4,2,2.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,6.0,18587.0,6,Especializadas,0.22408923632028538,2.1400433364121176,1.441330086478912,-0.054728460462651896,-0.3176620268597616,Desempeño Esperado,Riesgo Moderado,Sierra Sur,Suni (3500-4000m),Mediana (11-20 est/doc)
205401,50765,44,-13.70297,-71.36623,3955.0,1.3929539295392954,3.0,2.0,5.0,2,3.796224680099076,1.0,2.098159509202454,0.3,9.0,2,1,-2.3333333333333335,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,18587.0,6,Especializadas,0.22408923632028538,0.9072386989066891,1.4869709664235498,-0.09401703688425433,-0.5457058766778611,Desempeño Esperado,Riesgo Moderado,Sierra Sur,Suni (3500-4000m),Pequeña (≤10 est/doc)
487140,50854,44,-13.68158,-71.39118,3924.0,1.5666666666666667,3.0,3.0,5.0,2,3.792752755396319,0.5,2.098159509202454,0.8,8.5,2,1,-5.5,4.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,6.0,18587.0,6,Especializadas,0.22408923632028538,1.4225720014659176,1.4335017276209778,0.13316493904568882,0.77293320671385,Desempeño Esperado,Riesgo Moderado,Sierra Sur,Suni (3500-4000m),Pequeña (≤10 est/doc)
592543,50977,44,-13.6729,-71.3415,3770.0,1.5282278313730673,2.0,3.0,5.0,2,3.7900190771393807,0.6666666666666666,2.098159509202454,0.3,17.0,3,1,-4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,18587.0,6,Especializadas,0.22408923632028538,1.4484301026667665,1.45577558895583,0.07245224241723736,0.42053670032432877,Desempeño Esperado,Riesgo Moderado,Sierra Sur,Suni (3500-4000m),Mediana (11-20 est/doc)
428714,36153 SAYRI TUPAC,79,-12.8025,-74.5375,3405.0,1.5003,2.0,2.0,3.0,2,3.079975035319729,1.0,1.7714285714285714,0.3,12.5,3,1,-0.8095238095238095,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,14.0,9579.0,3,Rurales Resilientes,0.22408923632028538,1.2268415664772079,1.4057304129984176,0.09456958700158236,0.5489130597180554,Desempeño Esperado,Riesgo Moderado,Sierra Centro,Quechua (2000-3500m),Mediana (11-20 est/doc)
600692,NUESTRA SEÑORA DE LA CANDELARIA,79,-12.83916,-74.57049,3440.0,1.5003,2.0,2.0,3.0,1,1.5,0.4444444444444444,1.7714285714285714,0.3,7.571428571428571,4,2,-5.354761904761906,5.0,2.0,1.0,4.0,0.0,1.0,1.0,1.0,14.0,9579.0,5,En Desarrollo,0.22408923632028538,3.703625400415753,1.4596336718157656,0.040666328184234324,0.23604077525191083,Desempeño Esperado,Riesgo Moderado,Sierra Centro,Quechua (2000-3500m),Pequeña (≤10 est/doc)
421594,130,79,-12.9167,-74.4666,3360.0,1.5003,2.0,2.0,3.0,2,3.099891650044416,1.0,1.7714285714285714,0.3,11.0,3,2,1.8,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,12.0,1809.0,3,Rurales Resilientes,0.22408923632028538,2.1239258487109622,1.405417257695956,0.09488274230404392,0.5507307163314678,Desempeño Esperado,Riesgo Moderado,Sierra Centro,Quechua (2000-3500m),Mediana (11-20 est/doc)
633040,156,79,-12.8768,-74.487,3478.0,1.5003,2.0,2.0,3.0,2,3.092836205401964,0.5,1.7714285714285714,0.3,9.0,3,2,0.4,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,1809.0,3,Rurales Resilientes,0.22408923632028538,2.038643885110561,1.3484317391540162,0.15186826084598382,0.881493452367874,Desempeño Esperado,Riesgo Moderado,Sierra Centro,Quechua (2000-3500m),Pequeña (≤10 est/doc)
420380,36161 SAN VICENTE DE PAUL,79,-12.9179,-74.4644,3375.0,1.4575396825396825,2.0,2.0,3.0,2,3.100068700763088,0.6666666666666666,1.7714285714285714,0.3,11.0,3,1,-2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,12.0,1809.0,3,Rurales Resilientes,0.22408923632028538,1.0555191471757872,1.3686848451541982,0.08885483738548428,0.5157427689644063,Desempeño Esperado,Riesgo Moderado,Sierra Centro,Quechua (2000-3500m),Mediana (11-20 est/doc)
420406,36163 JAVIER HERAUD PEREZ,79,-12.90297,-74.4938,3127.0,1.3181818181818183,2.0,2.0,3.0,2,3.0979108260032344,1.0,1.7714285714285714,0.3,10.0,3,1,0.6,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,12.0,1809.0,3,Rurales Resilientes,0.22408923632028538,1.1357331954418393,1.4114696295580405,-0.09328781137622211,-0.5414732114254293,Desempeño Esperado,Riesgo Moderado,Sierra Centro,Quechua (2000-3500m),Pequeña (≤10 est/doc)
