CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,RED_NOMBRE,LATITUD,LONGITUD,ALTITUD_MSNM,REGION,INSTITUCION_TOOLTIP
674895,14045,48,Red Fe y Alegria 48,-4.85,-80.1801,173,Piura,14045 - Red 48 (Piura)
260307,14141,48,Red Fe y Alegria 48,-4.855,-80.2233,144,Piura,14141 - Red 48 (Piura)
350447,14144 SANTA ROSA,48,Red Fe y Alegria 48,-4.9306,-80.2501,90,Piura,14144 SANTA ROSA - Red 48 (Piura)
916023,14144 SANTA ROSA,48,Red Fe y Alegria 48,-4.9306,-80.2501,90,Piura,14144 SANTA ROSA - Red 48 (Piura)
260315,14145 SANTA JULIA BILLIART,48,Red Fe y Alegria 48,-4.846,-80.2182,139,Piura,14145 SANTA JULIA BILLIART - Red 48 (Piura)
1715820,14894,48,Red Fe y Alegria 48,-4.881,-80.1986,117,Piura,14894 - Red 48 (Piura)
571745,14894,48,Red Fe y Alegria 48,-4.881,-80.1986,117,Piura,14894 - Red 48 (Piura)
350496,14924 DANIEL ALCIDES CARRION,48,Red Fe y Alegria 48,-4.952,-80.2495,91,Piura,14924 DANIEL ALCIDES CARRION - Red 48 (Piura)
571356,14924 DANIEL ALCIDES CARRION,48,Red Fe y Alegria 48,-4.952,-80.2495,91,Piura,14924 DANIEL ALCIDES CARRION - Red 48 (Piura)
613943,14975,48,Red Fe y Alegria 48,-4.962,-80.2751,83,Piura,14975 - Red 48 (Piura)
464610,15219,48,Red Fe y Alegria 48,-4.898373,-80.15871,154,Piura,15219 - Red 48 (Piura)
464628,15220,48,Red Fe y Alegria 48,-4.8343,-80.1667,200,Piura,15220 - Red 48 (Piura)
355271,15304,48,Red Fe y Alegria 48,-4.9173,-80.2198,101,Piura,15304 - Red 48 (Piura)
552661,15314,48,Red Fe y Alegria 48,-4.920441,-80.19533,121,Piura,15314 - Red 48 (Piura)
561084,SAGRADO CORAZON DE JESUS,48,Red Fe y Alegria 48,-4.94231,-80.23896,94,Piura,SAGRADO CORAZON DE JESUS - Red 48 (Piura)
355289,15383,48,Red Fe y Alegria 48,-4.8894,-80.2122,121,Piura,15383 - Red 48 (Piura)
673780,15478,48,Red Fe y Alegria 48,-4.8315,-80.204,155,Piura,15478 - Red 48 (Piura)
840595,20104,48,Red Fe y Alegria 48,-4.976114,-80.22945,92,Piura,20104 - Red 48 (Piura)
840504,20123,48,Red Fe y Alegria 48,-4.9443,-80.2609,86,Piura,20123 - Red 48 (Piura)
626424,15055,48,Red Fe y Alegria 48,-4.878228,-80.14346,200,Piura,15055 - Red 48 (Piura)
595082,294,72,Red Fe y Alegria 72,-8.430011,-74.24303,149,Ucayali,294 - Red 72 (Ucayali)
595108,295,72,Red Fe y Alegria 72,-8.53039,-74.38295,158,Ucayali,295 - Red 72 (Ucayali)
715011,333-B,72,Red Fe y Alegria 72,-8.551025,-74.36524,156,Ucayali,333-B - Red 72 (Ucayali)
271379,64028,72,Red Fe y Alegria 72,-8.43433,-74.24007,150,Ucayali,64028 - Red 72 (Ucayali)
271551,64048,72,Red Fe y Alegria 72,-8.525052,-74.39294,156,Ucayali,64048 - Red 72 (Ucayali)
