codigo_modular,nombre_institucion,region,provincia,distrito,nivel_educativo,modalidad_especifica,area_censo,es_rural,es_fya,total_alumnos,total_docentes,numero_fya
1229434,FE Y ALEGRIA 43 LA SALLE,DRE CALLAO,CALLAO,VENTANILLA,Técnico Productiva,CETPRO,Urbana,0,1,178,6.0,FA 43
1335637,FE Y ALEGRIA 59,DRE CALLAO,CALLAO,VENTANILLA,Secundaria,EBR,Urbana,0,1,364,27.0,FA 59
1381862,FE Y ALEGRIA 59,DRE CALLAO,CALLAO,VENTANILLA,Primaria,EBR,Urbana,0,1,443,18.0,FA 59
1383363,FE Y ALEGRIA 59,DRE CALLAO,CALLAO,VENTANILLA,Inicial - Jardín,EBR,Urbana,0,1,186,8.0,FA 59
1538453,FE Y ALEGRIA 76,DRE CALLAO,CALLAO,VENTANILLA,Inicial - Jardín,EBR,Urbana,0,1,147,6.0,FA 76
1538461,FE Y ALEGRIA 76,DRE CALLAO,CALLAO,VENTANILLA,Primaria,EBR,Urbana,0,1,401,15.0,FA 76
1705029,FE Y ALEGRIA 76,DRE CALLAO,CALLAO,VENTANILLA,Secundaria,EBR,Urbana,0,1,337,15.0,FA 76
601781,FE Y ALEGRIA 29,DRE CALLAO,CALLAO,VENTANILLA,Primaria,EBR,Urbana,0,1,579,23.0,FA 29
664706,FE Y ALEGRIA 29,DRE CALLAO,CALLAO,VENTANILLA,Secundaria,EBR,Urbana,0,1,550,32.0,FA 29
855791,FE Y ALEGRIA 43,DRE CALLAO,CALLAO,VENTANILLA,Primaria,EBR,Urbana,0,1,580,22.0,FA 43
879791,FE Y ALEGRIA 43,DRE CALLAO,CALLAO,VENTANILLA,Secundaria,EBR,Urbana,0,1,605,39.0,FA 43
1060755,NUESTRA SEÑORA DEL ROSARIO FE Y ALEGRIA 21,DRE CUSCO,CUSCO,SAN JERONIMO,Técnico Productiva,CETPRO,Urbana,0,1,84,5.0,FA 21
1062470,NUESTRA SEÑORA DEL ROSARIO FE Y ALEGRIA 21,DRE CUSCO,CUSCO,SAN JERONIMO,Inicial - Jardín,EBR,Urbana,0,1,129,5.0,FA 21
235341,NUESTRA SEÑORA DEL ROSARIO FE Y ALEGRIA 21,DRE CUSCO,CUSCO,SAN JERONIMO,Primaria,EBR,Urbana,0,1,582,21.0,FA 21
236786,NUESTRA SEÑORA DEL ROSARIO FE Y ALEGRIA 21,DRE CUSCO,CUSCO,SAN JERONIMO,Secundaria,EBR,Urbana,0,1,534,31.0,FA 21
235333,FE Y ALEGRIA 20,DRE CUSCO,CUSCO,SANTIAGO,Primaria,EBR,Urbana,0,1,625,25.0,FA 20
236778,FE Y ALEGRIA 20,DRE CUSCO,CUSCO,SANTIAGO,Secundaria,EBR,Urbana,0,1,542,38.0,FA 20
1200906,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Secundaria,EBR,Urbana,0,1,268,20.0,FA 44
933937,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Inicial - Jardín,EBR,Urbana,0,1,152,8.0,FA 44
933960,SAN IGNACIO DE LOYOLA FE Y ALEGRIA 44,DRE CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,Primaria,EBR,Urbana,0,1,376,19.0,FA 44
1062058,501344,DRE CUSCO,QUISPICANCHI,CCARHUAYO,Primaria,RER,Rural,1,1,15,2.0,RER FA 44
1343813,ALMIRANTE MIGUEL GRAU SEMINARIO,DRE CUSCO,QUISPICANCHI,CCARHUAYO,Secundaria,RER,Rural,1,1,75,7.0,RER FA 44
1457365,LOS RIT'IS DEL ALTO ANDINO,DRE CUSCO,QUISPICANCHI,CCARHUAYO,Secundaria,RER,Rural,1,1,57,6.0,RER FA 44
410316,50558,DRE CUSCO,QUISPICANCHI,CCARHUAYO,Primaria,RER,Rural,1,1,40,4.0,RER FA 44
204933,50715,DRE CUSCO,QUISPICANCHI,CCATCA,Primaria,RER,Rural,1,1,8,1.0,RER FA 44
409706,50495,DRE CUSCO,QUISPICANCHI,CCATCA,Primaria,RER,Rural,1,1,47,3.0,RER FA 44
410100,50535,DRE CUSCO,QUISPICANCHI,CCATCA,Primaria,RER,Rural,1,1,94,7.0,RER FA 44
519793,50912,DRE CUSCO,QUISPICANCHI,CCATCA,Primaria,RER,Rural,1,1,26,3.0,RER FA 44
592428,50976,DRE CUSCO,QUISPICANCHI,CCATCA,Primaria,RER,Rural,1,1,44,3.0,RER FA 44
205716,50796,DRE CUSCO,QUISPICANCHI,MARCAPATA,Primaria,RER,Rural,1,1,31,2.0,RER FA 44
1457605,501432,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,59,4.0,RER FA 44
1636455,501455 CRISTO REY TTIKARIY,DRE CUSCO,QUISPICANCHI,OCONGATE,Inicial - Jardín,RER,Rural,1,1,24,2.0,RER FA 44
1741123,501455 CRISTO REY TTIKARIY,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,55,3.0,RER FA 44
1772672,501432 PAPA FRANCISCO I,DRE CUSCO,QUISPICANCHI,OCONGATE,Secundaria,RER,Rural,1,1,71,7.0,RER FA 44
204974,50719 VIRGEN DEL CARMEN,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,299,15.0,RER FA 44
205401,50765,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,18,2.0,RER FA 44
409672,50492 CORAZON DE JESUS,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Urbana,0,1,406,21.0,RER FA 44
410225,50547,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,41,3.0,RER FA 44
410233,50550,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,28,3.0,RER FA 44
410258,50552 TUPAC AMARU II,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,81,7.0,RER FA 44
410266,50553,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,6,1.0,RER FA 44
487140,50854,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,17,2.0,RER FA 44
592543,50977,DRE CUSCO,QUISPICANCHI,OCONGATE,Primaria,RER,Rural,1,1,51,3.0,RER FA 44
409797,50504,DRE CUSCO,QUISPICANCHI,URCOS,Primaria,RER,Rural,1,1,132,9.0,RER FA 44
410118,50536,DRE CUSCO,QUISPICANCHI,URCOS,Primaria,RER,Rural,1,1,39,3.0,RER FA 44
421222,37003,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,Básica Alternativa-Inicial e Intermedio,EBA,Urbana,0,1,35,1.0,FA 79
428714,36153 SAYRI TUPAC,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,Primaria,RER,Rural,1,1,25,2.0,RER FA 79
600692,NUESTRA SEÑORA DE LA CANDELARIA,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,Secundaria,RER,Urbana,0,1,265,35.0,RER FA 79
697714,37003,DRE HUANCAVELICA,ACOBAMBA,ACOBAMBA,Básica Alternativa-Avanzado,EBA,Urbana,0,1,128,6.0,FA 79
1060276,CORAS,DRE HUANCAVELICA,ACOBAMBA,CAJA,Secundaria,RER,Rural,1,1,114,18.0,RER FA 79
1374834,846,DRE HUANCAVELICA,ACOBAMBA,CAJA,Inicial - Jardín,RER,Rural,1,1,11,2.0,RER FA 79
420380,36161 SAN VICENTE DE PAUL,DRE HUANCAVELICA,ACOBAMBA,CAJA,Primaria,RER,Rural,1,1,33,3.0,RER FA 79
420406,36163 JAVIER HERAUD PEREZ,DRE HUANCAVELICA,ACOBAMBA,CAJA,Primaria,RER,Rural,1,1,30,3.0,RER FA 79
421594,130,DRE HUANCAVELICA,ACOBAMBA,CAJA,Inicial - Jardín,RER,Rural,1,1,22,2.0,RER FA 79
633040,156,DRE HUANCAVELICA,ACOBAMBA,CAJA,Inicial - Jardín,RER,Rural,1,1,18,2.0,RER FA 79
1402866,36789 NUESTRA SEÑORA DEL CARMEN,DRE HUANCAVELICA,ACOBAMBA,MARCAS,Primaria,RER,Rural,1,1,8,1.0,RER FA 79
1785138,36831,DRE HUANCAVELICA,ACOBAMBA,MARCAS,Primaria,RER,Rural,1,1,15,1.0,RER FA 79
420430,36166 HEROES 29 DE AGOSTO,DRE HUANCAVELICA,ACOBAMBA,MARCAS,Primaria,RER,Rural,1,1,51,4.0,RER FA 79
420448,36167,DRE HUANCAVELICA,ACOBAMBA,MARCAS,Primaria,RER,Rural,1,1,8,1.0,RER FA 79
420562,36201 NUESTRA SEÑORA DEL ROSARIO,DRE HUANCAVELICA,ACOBAMBA,MARCAS,Primaria,RER,Rural,1,1,8,1.0,RER FA 79
740365,RAMON CASTILLA MARQUEZADO,DRE HUANCAVELICA,ACOBAMBA,MARCAS,Secundaria,RER,Rural,1,1,66,9.0,RER FA 79
1495167,843,DRE HUANCAVELICA,ACOBAMBA,POMACOCHA,Inicial - Jardín,RER,Rural,1,1,8,1.0,RER FA 79
